trial,structurally_viable,fill_first_avg_student_ranking,fill_first_std_student_ranking,fill_first_median_student_ranking,fill_first_iqr_student_ranking,fill_first_student_satisfaction_percent,fill_first_student_satisfaction_top4_percent,fill_first_student_satisfaction_top5_percent,fill_first_students_got_choice_1_count,fill_first_students_got_choice_1_percent,fill_first_students_got_choice_2_count,fill_first_students_got_choice_2_percent,fill_first_students_got_choice_3_count,fill_first_students_got_choice_3_percent,fill_first_students_got_choice_4_count,fill_first_students_got_choice_4_percent,fill_first_students_got_choice_5_count,fill_first_students_got_choice_5_percent,fill_first_students_got_choice_6_count,fill_first_students_got_choice_6_percent
1,True,3.0833333333333335,1.8689717910004835,3.0,3.25,62.5,75.0,79.16666666666666,7,29.166666666666668,4,16.666666666666664,4,16.666666666666664,3,12.5,1,4.166666666666666,5,20.833333333333336
2,False,3.0833333333333335,1.7300449576688912,3.0,2.25,66.66666666666666,75.0,83.33333333333334,5,20.833333333333336,6,25.0,5,20.833333333333336,2,8.333333333333332,2,8.333333333333332,4,16.666666666666664
3,False,3.3333333333333335,1.7716909687891083,3.0,3.0,58.333333333333336,70.83333333333334,79.16666666666666,4,16.666666666666664,6,25.0,4,16.666666666666664,3,12.5,2,8.333333333333332,5,20.833333333333336
4,True,2.9583333333333335,1.6196493104647343,2.0,2.0,66.66666666666666,79.16666666666666,87.5,4,16.666666666666664,9,37.5,3,12.5,3,12.5,2,8.333333333333332,3,12.5
5,True,3.0,1.8257418583505538,2.0,2.5,58.333333333333336,75.0,83.33333333333334,6,25.0,8,33.33333333333333,0,0.0,4,16.666666666666664,2,8.333333333333332,4,16.666666666666664
6,True,3.5833333333333335,1.913040047208166,3.5,3.25,50.0,58.333333333333336,75.0,5,20.833333333333336,4,16.666666666666664,3,12.5,2,8.333333333333332,4,16.666666666666664,6,25.0
7,True,3.25,1.6393596310755,3.5,2.0,50.0,79.16666666666666,87.5,5,20.833333333333336,4,16.666666666666664,3,12.5,7,29.166666666666668,2,8.333333333333332,3,12.5
8,True,3.2083333333333335,1.6577888553398135,3.0,2.0,58.333333333333336,79.16666666666666,83.33333333333334,4,16.666666666666664,6,25.0,4,16.666666666666664,5,20.833333333333336,1,4.166666666666666,4,16.666666666666664
9,False,3.25,1.7618645426554977,3.0,2.5,54.166666666666664,75.0,83.33333333333334,6,25.0,3,12.5,4,16.666666666666664,5,20.833333333333336,2,8.333333333333332,4,16.666666666666664
10,True,2.875,1.786815136865964,2.0,4.0,62.5,70.83333333333334,91.66666666666666,8,33.33333333333333,5,20.833333333333336,2,8.333333333333332,2,8.333333333333332,5,20.833333333333336,2,8.333333333333332
11,True,3.0,1.6832508230603465,2.5,1.5,75.0,75.0,83.33333333333334,4,16.666666666666664,8,33.33333333333333,6,25.0,0,0.0,2,8.333333333333332,4,16.666666666666664
12,True,3.0833333333333335,1.4976833963009524,3.0,2.0,70.83333333333334,79.16666666666666,87.5,2,8.333333333333332,9,37.5,6,25.0,2,8.333333333333332,2,8.333333333333332,3,12.5
13,False,3.4583333333333335,1.9360433592481572,4.0,4.0,45.83333333333333,62.5,79.16666666666666,7,29.166666666666668,2,8.333333333333332,2,8.333333333333332,4,16.666666666666664,4,16.666666666666664,5,20.833333333333336
14,False,3.125,1.9216420929333675,2.5,3.5,66.66666666666666,70.83333333333334,75.0,6,25.0,6,25.0,4,16.666666666666664,1,4.166666666666666,1,4.166666666666666,6,25.0
15,True,3.0416666666666665,1.8814703174792728,3.0,4.0,62.5,70.83333333333334,83.33333333333334,8,33.33333333333333,3,12.5,4,16.666666666666664,2,8.333333333333332,3,12.5,4,16.666666666666664
16,True,3.1666666666666665,1.674979270186815,3.0,2.0,58.333333333333336,79.16666666666666,83.33333333333334,4,16.666666666666664,7,29.166666666666668,3,12.5,5,20.833333333333336,1,4.166666666666666,4,16.666666666666664
17,False,3.375,1.522402158870426,3.0,2.25,58.333333333333336,75.0,87.5,3,12.5,4,16.666666666666664,7,29.166666666666668,4,16.666666666666664,3,12.5,3,12.5
18,False,3.6666666666666665,1.724013405464767,3.5,3.25,50.0,66.66666666666666,75.0,3,12.5,4,16.666666666666664,5,20.833333333333336,4,16.666666666666664,2,8.333333333333332,6,25.0
19,False,3.5416666666666665,1.7315495629316793,3.0,3.25,58.333333333333336,66.66666666666666,75.0,2,8.333333333333332,7,29.166666666666668,5,20.833333333333336,2,8.333333333333332,2,8.333333333333332,6,25.0
20,True,3.625,1.953895681282226,3.5,4.0,50.0,58.333333333333336,70.83333333333334,5,20.833333333333336,4,16.666666666666664,3,12.5,2,8.333333333333332,3,12.5,7,29.166666666666668
21,True,3.125,1.8554536731843598,3.0,4.0,54.166666666666664,62.5,91.66666666666666,8,33.33333333333333,3,12.5,2,8.333333333333332,2,8.333333333333332,7,29.166666666666668,2,8.333333333333332
22,True,2.7083333333333335,1.5937159582421063,2.0,1.25,79.16666666666666,83.33333333333334,87.5,6,25.0,7,29.166666666666668,6,25.0,1,4.166666666666666,1,4.166666666666666,3,12.5
